id,name,unresolved_tokens
"1685","squat to overhead reach","reach"
"1686","squat to overhead reach with twist","reach"
"2297","stability ball crunch (full range hands behind head)","(full range head)"
"3291","stalder press","stalder"
"1490","standing calf raise (on a staircase)","(on staircase)"
"1599","standing hamstring and calf stretch with strap","strap"
"1364","standing pelvic tilt","pelvic tilt"
"0796","standing wheel rollerout","wheel"
"3223","star jump (male)","star (male)"
"2138","stationary bike run v. 3","v."
"3314","straddle maltese","straddle maltese"
"3298","straddle planche","straddle"
"1427","straight leg outer hip abductor","abductor"
"0803","superman push-up","superman"
"0805","suspended abdominal fallout","fallout"
"3433","swimmer kicks v. 2 (male)","swimmer kicks v. (male)"
"2459","tire flip","tire flip"
"0812","triceps dip (bench leg)","(bench leg)"
"0813","triceps dip (between benches)","(between benches)"
"0871","tuck crunch","tuck"
"0818","twin handle parallel grip lat pulldown","twin handle"
"2802","twisted leg raise","twisted"
"2801","twisted leg raise (female)","twisted (female)"
"3231","two toe touch (male)","(male)"
"1366","upward facing dog","upward facing dog"
"3420","v-sit on floor","v-sit"
"0826","vertical leg raise (on parallel bars)","(on bars)"
"2141","walk elliptical cross trainer","elliptical trainer"
"3666","walking on incline treadmill","treadmill"
"2311","walking on stepmill","stepmill"
"2987","weighted close grip chin-up on dip cage","cage"
"3643","weighted cossack squats (male)","cossack squats (male)"
"1310","weighted drop push up","drop"
"0866","weighted hanging leg-hip raise","leg-hip"
"0835","weighted hyperextension (on stability ball)","(on stability ball)"
"3286","weighted muscle up","muscle"
"3312","weighted muscle up (on bar)","muscle (on bar)"
"0840","weighted overhead crunch (on stability ball)","(on stability ball)"
"0844","weighted round arm","round"
"0845","weighted russian twist (legs up)","(legs up)"
"2371","weighted russian twist v. 2","v."
"0847","weighted seated bicep curl (on stability ball)","(on stability ball)"
"0849","weighted seated twist (on stability ball)","(on stability ball)"
"0850","weighted side bend (on stability ball)","bend (on stability ball)"
"0851","weighted sissy squat","sissy"
"0854","weighted standing hand squeeze","squeeze"
"0856","weighted svend press","svend"
"0857","wheel rollerout","wheel"
"3637","wheel run","wheel"
"0858","wind sprints","wind sprints"
"1604","world greatest stretch","world greatest"
"0859","wrist rollerer","rollerer"
